Geo_FIPS,pct_white_1980,pct_white_1990,pct_white_2000,pct_white_2010
01001020100,0.9747474747474736,0.9678510998307986,0.9021343050494539,0.8483263598326359
01001020200,0.37617554858934094,0.3687838503200389,0.3609936575052854,0.40921658986175113
01001020300,0.8399234693877524,0.8556910569105703,0.8265947888589398,0.7637118292321375
01001020400,0.9922889610389596,0.979777323335607,0.9503950834064969,0.9316005471956225
01001020500,0.9340973870293523,0.946629434771813,0.9081878353570184,0.8049414824447334
01001020600,0.8033988670443195,0.7795321637426902,0.8117229129662531,0.75
01001020700,0.9320922911032973,0.9311224489795911,0.8803448275862069,0.8069872016603251
01001020801,0.7898029611192694,0.8566783093078517,0.8462903211744379,0.8730931515741642
01001020802,0.7885485220076472,0.8640272879273898,0.848349009610186,0.837949209391471
01001020900,0.765748074078657,0.7866304162141144,0.8414347428032285,0.8519823788546256
01003010904,0.9368557990593408,0.8998330550918217,0.8680281982168779,0.9311960181525399
01003010905,0.9368557990593427,0.9680832906639368,0.9339704604691577,0.8608163774809636
01003010906,0.9368557990593417,0.9680832906639376,0.9339704604691595,0.909809390980939
01003011000,0.9033789148584779,0.8944784022257751,0.9005779693567725,0.8492450638792102
01003011101,0.9261249160510436,0.9438281803162596,0.9241095162147798,0.9116351077765869
01003011102,0.9261249160510402,0.943828180316256,0.9241095162147782,0.9165545087483177
01003011201,0.8377187760447676,0.9849612696573569,0.9591625756447283,0.9553191489361702
01003011202,0.8377187760447674,0.7304020011746762,0.7563367252543935,0.7532082922013821
01003011300,0.8869022869022871,0.9128644939965703,0.9451568894952251,0.9344773790951638
01003011401,0.9172021494581784,0.8339903337243084,0.8704962465622065,0.8460308502633559
01003011403,0.9171489094848134,0.988468993047418,0.9717815585717864,0.9027488774504435
01003011405,0.9172023096197846,0.9885175079581641,0.9632049864280682,0.9699895615866388
01003011406,0.9172023096197842,0.9885175079581695,0.9632049864280681,0.9202813599062134
01003011407,0.9172023096197778,0.9885175079581633,0.963204986428069,0.942904771827464
01003011408,0.9172023096197851,0.9885175079581632,0.9632049864280685,0.9653579676674365
01003011501,0.783658520783081,0.8095563139931737,0.8135526445385599,0.8575996990218209
01003011502,0.7836585207830783,0.809556313993174,0.8135526445385607,0.742168217201443
01003011601,0.9494089834515357,0.9643589339220944,0.9575097870715159,0.940118772682283
01003011602,0.9494089834515335,0.9643589339220959,0.9575097870715185,0.9474974463738509
01005950100,0.19868585732165242,0.5039611394383944,0.5163935960418755,0.4679313459801265
01005950400,0.8235017693483432,0.5749850660891114,0.5130296106941682,0.47548222170578663
01007010002,0.9518900343642586,0.8932496728054219,0.9113032158043393,0.9284647302904564
01009050101,0.9575267167837053,0.9409652424687458,0.9087614376508657,0.8643420717739883
01009050102,0.9574845229074376,0.960950256963165,0.918539024815832,0.875177304964539
01009050601,0.971438403303513,0.9793288970692334,0.9665581532997932,0.9811320754716981
01009050602,0.9714658872355275,0.979341869433298,0.9665395696489061,0.9590944749523703
01009050700,0.9936438604326348,0.9935937601126736,0.9828176274756499,0.9668995533157714
01015000300,0.6652183855476791,0.3543876567020242,0.216361071932299,0.17078956286004743
01015000500,0.05549989981967531,0.07193816884661113,0.06618887015177066,0.06670341786108049
01015001300,0.9921098592605461,0.9817332350407436,0.9613058933006268,0.9384893713251922
01015001500,0.9405050500351928,0.9109296108973697,0.9197480142131832,0.8705271258176221
01015001600,0.986291821561338,0.9496706192358358,0.894557823129252,0.8026905829596412
01015001700,0.9571666406067257,0.8572678929148452,0.8093415007656968,0.7302891452046136
01015001800,0.9395313681027961,0.9075511644318991,0.8824590410341203,0.8306113600231247
01015002000,0.9237943818870212,0.9493668993443238,0.9433108456572269,0.9089297886843899
01015002101,0.8674245815056826,0.8133552745539567,0.7000379218809253,0.5478456913827655
01015002102,0.8674245815056846,0.8133552745539586,0.8717465107506601,0.8240985048372911
01015002103,0.8674245815056855,0.8133552745539572,0.7566207047493981,0.7334215556535804
01015002200,0.976897689768975,0.961512027491407,0.9550739957716702,0.9424972617743702
01015002300,0.8561115500619088,0.8564208015946698,0.851348008904279,0.844392401769451
01015002400,0.9858262967430631,0.9762942779291549,0.9616708744549002,0.9526339088092076
01015002501,0.9410396716826249,0.9465790914066797,0.9107761868877167,0.8913566275286462
01015002502,0.9410396716826247,0.9465790914066785,0.9647326507394767,0.9545161982407209
01015002600,0.8960502820005314,0.9266392805727109,0.9338494018296974,0.9369447453954496
01015981901,0.9311736879128166,0.9034211605511827,0.9135461261197755,1.0
01015981902,0.940540441237642,0.9109560163179459,0.9197467023770532,0.4
01017954000,0.42922340397470554,0.4224546927794515,0.41085813201589405,0.41370520317888737
01019955800,0.983601460663555,0.9538193044008549,0.9490245969027881,0.9410178025534975
01021060101,0.8466783425478851,0.7129790964882945,0.7077530687128853,0.6750335313278406
01021060102,0.84664536741214,0.9289176090468508,0.8684162895927602,0.8288116769792162
01021060200,0.9979989994997464,0.9986326344576089,0.9742633345766505,0.9732810830067687
01021060300,0.9967602591792626,0.9893752656183635,0.9611005692599638,0.9325105042016807
01021060401,0.9188939025801202,0.912011863568959,0.8743952003096574,0.8607757043541895
01021060402,0.918900662453704,0.935147975121727,0.9174024925469144,0.8607566089334548
01021060500,0.7033195020746893,0.7132554945054945,0.7371181734032706,0.7474155754651964
01021060600,0.9505316689782689,0.9466903598400714,0.914544235924933,0.9089236430542779
01021060700,0.8494130905804355,0.8789174696238189,0.8753331772014612,0.8412076063516958
01031010100,0.913072776280319,0.9353988134475947,0.9306549257017062,0.8993680116674769
